"continent","country","url_main"
"australia-oceania","marshall-islands","https://download.geofabrik.de/australia-oceania/marshall-islands"
"australia-oceania","micronesia","https://download.geofabrik.de/australia-oceania/micronesia"
"australia-oceania","nauru","https://download.geofabrik.de/australia-oceania/nauru"
"australia-oceania","new-caledonia","https://download.geofabrik.de/australia-oceania/new-caledonia"
"australia-oceania","new-zealand","https://download.geofabrik.de/australia-oceania/new-zealand"
"australia-oceania","niue","https://download.geofabrik.de/australia-oceania/niue"
"australia-oceania","palau","https://download.geofabrik.de/australia-oceania/palau"
"australia-oceania","papua-new-guinea","https://download.geofabrik.de/australia-oceania/papua-new-guinea"
"australia-oceania","pitcairn-islands","https://download.geofabrik.de/australia-oceania/pitcairn-islands"
"australia-oceania","polynesie-francaise","https://download.geofabrik.de/australia-oceania/polynesie-francaise"
"australia-oceania","samoa","https://download.geofabrik.de/australia-oceania/samoa"
"australia-oceania","solomon-islands","https://download.geofabrik.de/australia-oceania/solomon-islands"
"australia-oceania","tokelau","https://download.geofabrik.de/australia-oceania/tokelau"
"australia-oceania","tonga","https://download.geofabrik.de/australia-oceania/tonga"
"australia-oceania","tuvalu","https://download.geofabrik.de/australia-oceania/tuvalu"
"australia-oceania","vanuatu","https://download.geofabrik.de/australia-oceania/vanuatu"
"australia-oceania","wallis-et-futuna","https://download.geofabrik.de/australia-oceania/wallis-et-futuna"
"central-america","bahamas","https://download.geofabrik.de/central-america/bahamas"
"central-america","belize","https://download.geofabrik.de/central-america/belize"
"central-america","costa-rica","https://download.geofabrik.de/central-america/costa-rica"
"central-america","cuba","https://download.geofabrik.de/central-america/cuba"
"central-america","el-salvador","https://download.geofabrik.de/central-america/el-salvador"
"central-america","guatemala","https://download.geofabrik.de/central-america/guatemala"
"central-america","haiti-and-domrep","https://download.geofabrik.de/central-america/haiti-and-domrep"
"central-america","honduras","https://download.geofabrik.de/central-america/honduras"
"central-america","jamaica","https://download.geofabrik.de/central-america/jamaica"
"central-america","nicaragua","https://download.geofabrik.de/central-america/nicaragua"
"central-america","panama","https://download.geofabrik.de/central-america/panama"
"europe","albania","https://download.geofabrik.de/europe/albania"
"europe","andorra","https://download.geofabrik.de/europe/andorra"
"europe","austria","https://download.geofabrik.de/europe/austria"
"europe","azores","https://download.geofabrik.de/europe/azores"
"europe","belarus","https://download.geofabrik.de/europe/belarus"
"europe","belgium","https://download.geofabrik.de/europe/belgium"
"europe","bosnia-herzegovina","https://download.geofabrik.de/europe/bosnia-herzegovina"
"europe","bulgaria","https://download.geofabrik.de/europe/bulgaria"
"europe","croatia","https://download.geofabrik.de/europe/croatia"
"europe","cyprus","https://download.geofabrik.de/europe/cyprus"
"europe","czech-republic","https://download.geofabrik.de/europe/czech-republic"
"europe","denmark","https://download.geofabrik.de/europe/denmark"
"europe","estonia","https://download.geofabrik.de/europe/estonia"
